appeal,datehour,gifts
Afghanistan,2021-08-17 00:00:00,8.0
Afghanistan,2021-08-17 01:00:00,2.0
Afghanistan,2021-08-17 02:00:00,1.0
Afghanistan,2021-08-17 05:00:00,3.0
Afghanistan,2021-08-17 06:00:00,3.0
Afghanistan,2021-08-17 07:00:00,19.0
Afghanistan,2021-08-17 08:00:00,31.0
Afghanistan,2021-08-17 09:00:00,28.0
Afghanistan,2021-08-17 10:00:00,25.0
Afghanistan,2021-08-17 11:00:00,37.0
Afghanistan,2021-08-17 12:00:00,48.0
Afghanistan,2021-08-17 13:00:00,248.0
Afghanistan,2021-08-17 14:00:00,272.0
Afghanistan,2021-08-17 15:00:00,190.0
Afghanistan,2021-08-17 16:00:00,190.0
Afghanistan,2021-08-17 17:00:00,211.0
Afghanistan,2021-08-17 18:00:00,156.0
Afghanistan,2021-08-17 19:00:00,190.0
Afghanistan,2021-08-17 20:00:00,230.0
Afghanistan,2021-08-17 21:00:00,155.0
Afghanistan,2021-08-17 22:00:00,119.0
Afghanistan,2021-08-17 23:00:00,50.0
Afghanistan,2021-08-18 00:00:00,33.0
Afghanistan,2021-08-18 01:00:00,8.0
Afghanistan,2021-08-18 02:00:00,8.0
Afghanistan,2021-08-18 03:00:00,2.0
Afghanistan,2021-08-18 04:00:00,8.0
Afghanistan,2021-08-18 05:00:00,7.0
Afghanistan,2021-08-18 06:00:00,23.0
Afghanistan,2021-08-18 07:00:00,56.0
Afghanistan,2021-08-18 08:00:00,65.0
Afghanistan,2021-08-18 09:00:00,82.0
Afghanistan,2021-08-18 10:00:00,86.0
Afghanistan,2021-08-18 11:00:00,77.0
Afghanistan,2021-08-18 12:00:00,72.0
Afghanistan,2021-08-18 13:00:00,72.0
Afghanistan,2021-08-18 14:00:00,82.0
Afghanistan,2021-08-18 15:00:00,55.0
Afghanistan,2021-08-18 16:00:00,56.0
Afghanistan,2021-08-18 17:00:00,64.0
Afghanistan,2021-08-18 18:00:00,67.0
Afghanistan,2021-08-18 19:00:00,91.0
Afghanistan,2021-08-18 20:00:00,83.0
Afghanistan,2021-08-18 21:00:00,79.0
Afghanistan,2021-08-18 22:00:00,77.0
Afghanistan,2021-08-18 23:00:00,29.0
Afghanistan,2021-08-19 00:00:00,13.0
Afghanistan,2021-08-19 01:00:00,7.0
Afghanistan,2021-08-19 02:00:00,2.0
Afghanistan,2021-08-19 03:00:00,3.0
Afghanistan,2021-08-19 04:00:00,1.0
Afghanistan,2021-08-19 05:00:00,2.0
Afghanistan,2021-08-19 06:00:00,23.0
Afghanistan,2021-08-19 07:00:00,47.0
Afghanistan,2021-08-19 08:00:00,51.0
Afghanistan,2021-08-19 09:00:00,79.0
Afghanistan,2021-08-19 10:00:00,55.0
Afghanistan,2021-08-19 11:00:00,52.0
Afghanistan,2021-08-19 12:00:00,48.0
