appeal,date,gifts,value
Beirut,2020-08-05,322.0,16182.935942999999
Beirut,2020-08-06,3083.0,179524.83659199998
Beirut,2020-08-07,1672.0,79116.429557
Beirut,2020-08-08,1032.0,52307.540033
Beirut,2020-08-09,658.0,34050.337459
Beirut,2020-08-10,531.0,29812.318854999998
Beirut,2020-08-11,368.0,25361.927548999996
Beirut,2020-08-12,252.0,16843.143626
Beirut,2020-08-13,189.0,11178.258690999999
Beirut,2020-08-14,124.0,8791.156262
Beirut,2020-08-15,99.0,6559.435952
Beirut,2020-08-16,80.0,5466.196626
Beirut,2020-08-17,153.0,8159.965539999999
Beirut,2020-08-18,112.0,7010.038052
Beirut,2020-08-19,109.0,4265.599082
Beirut,2020-08-20,62.0,3746.423809
Beirut,2020-08-21,250.0,12897.804694999999
Beirut,2020-08-22,158.0,6989.624868
Beirut,2020-08-23,164.0,11042.775644000001
Beirut,2020-08-24,98.0,7431.154445
Beirut,2020-08-25,125.0,6541.290899
Beirut,2020-08-26,82.0,6320.238815
Beirut,2020-08-27,93.0,4031.2255059999998
Beirut,2020-08-28,86.0,3744.730271
Beirut,2020-08-29,54.0,3492.755995
Beirut,2020-08-30,58.0,2993.933422
Beirut,2020-08-31,31.0,1776.702914
Beirut,2020-09-01,33.0,1268.656607
Beirut,2020-09-02,57.0,3969.229915
Beirut,2020-09-03,38.0,2792.8257719999997
Beirut,2020-09-04,89.0,7695.043969
Global Coronavirus,2021-04-27,88.0,3904.0103599999998
Global Coronavirus,2021-04-28,378.0,15603.269330000001
Global Coronavirus,2021-04-29,598.0,21653.350091000004
Global Coronavirus,2021-04-30,553.0,32218.955975
Global Coronavirus,2021-05-01,546.0,26424.91358
Global Coronavirus,2021-05-02,576.0,33941.488788999995
Global Coronavirus,2021-05-03,516.0,23303.436623
Global Coronavirus,2021-05-04,404.0,20510.60042
Global Coronavirus,2021-05-05,340.0,20625.592044
Global Coronavirus,2021-05-06,255.0,9501.035758
Global Coronavirus,2021-05-07,281.0,26198.804541
Global Coronavirus,2021-05-08,299.0,18529.503195999998
Global Coronavirus,2021-05-09,199.0,9485.425392
Global Coronavirus,2021-05-10,259.0,10510.032983000001
Global Coronavirus,2021-05-11,198.0,8612.692461999999
Global Coronavirus,2021-05-12,125.0,7583.004409
Global Coronavirus,2021-05-13,92.0,4026.0550329999996
Global Coronavirus,2021-05-14,97.0,37794.112669
Global Coronavirus,2021-05-15,73.0,3695.399121
Global Coronavirus,2021-05-16,98.0,3170.663799
Global Coronavirus,2021-05-17,82.0,10945.704079000001
Global Coronavirus,2021-05-18,54.0,5087.432129
Global Coronavirus,2021-05-19,34.0,2539.04005
Global Coronavirus,2021-05-20,81.0,8951.451573
Global Coronavirus,2021-05-21,86.0,2976.229607
Global Coronavirus,2021-05-22,47.0,4355.291821
Global Coronavirus,2021-05-23,78.0,3137.6833549999997
Global Coronavirus,2021-05-24,47.0,4155.195325
Global Coronavirus,2021-05-25,43.0,15894.189768
Global Coronavirus,2021-05-26,20.0,577.583504
Global Coronavirus,2021-05-27,27.0,1129.622773
HaitiAfghanistan,2021-08-15,221.0,8560.720965
HaitiAfghanistan,2021-08-16,238.0,10485.957332
HaitiAfghanistan,2021-08-17,670.0,29438.62803
HaitiAfghanistan,2021-08-18,388.0,16544.479596
HaitiAfghanistan,2021-08-19,355.0,23193.659993
HaitiAfghanistan,2021-08-20,626.0,29561.111149
HaitiAfghanistan,2021-08-21,534.0,30512.669948
HaitiAfghanistan,2021-08-22,288.0,17413.874894
HaitiAfghanistan,2021-08-23,336.0,24058.53895
HaitiAfghanistan,2021-08-24,202.0,11646.509727
HaitiAfghanistan,2021-08-25,201.0,13439.293157999999
HaitiAfghanistan,2021-08-26,278.0,16782.716491
HaitiAfghanistan,2021-08-27,417.0,24353.241375
HaitiAfghanistan,2021-08-28,467.0,31141.287911
HaitiAfghanistan,2021-08-29,209.0,16718.923199
HaitiAfghanistan,2021-08-30,286.0,32948.512335
HaitiAfghanistan,2021-08-31,687.0,31938.963742
HaitiAfghanistan,2021-09-01,148.0,10639.366085
HaitiAfghanistan,2021-09-02,142.0,10253.219082
HaitiAfghanistan,2021-09-03,125.0,8918.697301
HaitiAfghanistan,2021-09-04,80.0,7225.013645
HaitiAfghanistan,2021-09-05,39.0,2085.419629
HaitiAfghanistan,2021-09-06,41.0,5277.342363
HaitiAfghanistan,2021-09-07,70.0,4791.835897
HaitiAfghanistan,2021-09-08,44.0,6306.130562
HaitiAfghanistan,2021-09-09,64.0,2995.461978
HaitiAfghanistan,2021-09-10,45.0,4656.413467
HaitiAfghanistan,2021-09-11,28.0,4643.9257880000005
HaitiAfghanistan,2021-09-12,23.0,3776.788661
HaitiAfghanistan,2021-09-13,36.0,2392.5984390000003
HaitiAfghanistan,2021-09-14,37.0,3787.6504569999997
National Emergencies Trust,2020-03-18,30.0,2618.0732770000004
National Emergencies Trust,2020-03-19,798.0,62635.295216000006
National Emergencies Trust,2020-03-20,319.0,34359.49329
National Emergencies Trust,2020-03-21,397.0,30174.742041999998
National Emergencies Trust,2020-03-22,325.0,35214.699700000005
National Emergencies Trust,2020-03-23,152.0,21221.042368
National Emergencies Trust,2020-03-24,242.0,37589.736575999996
National Emergencies Trust,2020-03-25,281.0,31104.948357
National Emergencies Trust,2020-03-26,1313.0,96835.87011100001
National Emergencies Trust,2020-03-27,1321.0,110890.60079000001
National Emergencies Trust,2020-03-28,1241.0,126967.994492
National Emergencies Trust,2020-03-29,569.0,113240.07904
National Emergencies Trust,2020-03-30,541.0,74430.950563
National Emergencies Trust,2020-03-31,431.0,74591.88411799999
National Emergencies Trust,2020-04-01,918.0,108965.46358099999
National Emergencies Trust,2020-04-02,680.0,53580.17907
National Emergencies Trust,2020-04-03,2674.0,322328.359857
National Emergencies Trust,2020-04-04,1113.0,146829.38177100001
National Emergencies Trust,2020-04-05,623.0,76512.831387
National Emergencies Trust,2020-04-06,584.0,75729.133265
National Emergencies Trust,2020-04-07,399.0,39094.124123
National Emergencies Trust,2020-04-08,346.0,24862.298698000002
National Emergencies Trust,2020-04-09,445.0,55945.658895
National Emergencies Trust,2020-04-10,466.0,39483.189868
National Emergencies Trust,2020-04-11,445.0,39064.056323
National Emergencies Trust,2020-04-12,264.0,19894.228417
National Emergencies Trust,2020-04-13,714.0,111483.896124
National Emergencies Trust,2020-04-14,18.0,648.442908
National Emergencies Trust,2020-04-15,52.0,2543.8914080000004
National Emergencies Trust,2020-04-16,46.0,2813.244616
National Emergencies Trust,2020-04-17,52.0,2478.049513
Pakistan,2022-08-30,275.0,23072.97
Pakistan,2022-08-31,685.0,51858.66
Pakistan,2022-09-01,469.0,40717.53
Pakistan,2022-09-02,372.0,25846.6
Pakistan,2022-09-03,329.0,17647.54
Pakistan,2022-09-04,187.0,11455.69
Pakistan,2022-09-05,171.0,9656.0
Pakistan,2022-09-06,154.0,11686.58
Pakistan,2022-09-07,119.0,17368.4
Pakistan,2022-09-08,98.0,6167.5599999999995
Pakistan,2022-09-09,78.0,10679.69
Pakistan,2022-09-10,70.0,4925.0
Pakistan,2022-09-11,83.0,3251.69
Pakistan,2022-09-12,78.0,9251.0
Pakistan,2022-09-13,60.0,8495.39
